customer_id,organization_id,customer_name,aadhaar_number,pan_number,deleted_at,retention_period,kyc_status,masked_ssn
74,ORG-0009,Neha Saxena,981528376708,IHRFF6644K,2025-10-02 03:11:08,7 years,failed,XXX-XX-5064
75,ORG-0001,Krishna Iyer,827937066017,HKNGW1926H,,7 years,pending,XXX-XX-8454
76,ORG-0010,Diya Kapoor,879788765755,NJXBB8925F,,10 years,expired,XXX-XX-2904
77,ORG-0004,Amit Choudhury,905845404879,KVTTC0309C,,7 years,verified,XXX-XX-5703
78,ORG-0007,Sai Nair,479649389360,ROQHD1557H,,1 year,failed,XXX-XX-8585
79,ORG-0009,Sara Bose,882329718471,WAFBT0570X,2024-06-17 07:34:13,1 year,pending,XXX-XX-9255
80,ORG-0005,Ayaan Joshi,757828954254,PTELR4996Z,,7 years,expired,XXX-XX-3444
81,ORG-0005,Myra Chatterjee,474837895957,DGFBO8071I,,10 years,verified,XXX-XX-2192
82,ORG-0004,Meera Krishnamurthy,548390991944,GPFFR3246J,,10 years,expired,XXX-XX-8635
83,ORG-0002,Meera Krishnamurthy,973230870557,SHFFM5259K,,7 years,expired,XXX-XX-8550
84,ORG-0003,Deepak Pandey,717495600896,RTKFC7053T,,10 years,expired,XXX-XX-8993
85,ORG-0001,Aarav Sharma,805290868918,CDEPI8233M,,3 years,pending,XXX-XX-5914
86,ORG-0002,Rohan Mishra,203500144758,WCNAH2884B,,5 years,verified,XXX-XX-3938
87,ORG-0006,Aarav Sharma,557730128387,ITDBQ7302C,,10 years,expired,XXX-XX-6347
88,ORG-0001,Rohan Mishra,674253153724,GBGLW7133C,2023-09-24 14:23:48,5 years,verified,XXX-XX-3170
89,ORG-0002,Sai Nair,845403053327,KCXFS5612I,,1 year,pending,XXX-XX-8121
90,ORG-0005,Sara Bose,640226511390,IQUHO3889E,,10 years,pending,XXX-XX-8848
91,ORG-0006,Sai Nair,892645238315,OPOPA9474J,,1 year,expired,XXX-XX-9180
92,ORG-0003,Rohan Mishra,626770944594,ROUHW8560Y,,5 years,pending,XXX-XX-1725
93,ORG-0010,Rohan Mishra,893710275623,JMRPE3014C,,3 years,failed,XXX-XX-6110
94,ORG-0006,Aadhya Rao,553074007036,CUYFQ1159H,,3 years,pending,XXX-XX-8080
95,ORG-0007,Aarav Sharma,544022775759,JFCJQ9333D,,7 years,pending,XXX-XX-5873
96,ORG-0010,Riya Malhotra,363213135544,MNXCR1218T,2024-01-06 00:31:08,3 years,expired,XXX-XX-9281
97,ORG-0008,Sara Bose,948400722511,LTTPQ1178L,,1 year,expired,XXX-XX-9951
98,ORG-0004,Sara Bose,376280280813,VFTHW6467G,,10 years,failed,XXX-XX-9720
99,ORG-0005,Pooja Thakur,437228960970,XZWCW8278Y,,7 years,expired,XXX-XX-3329
100,ORG-0010,Rohan Mishra,663077476844,MPWBX9668Z,,3 years,expired,XXX-XX-4470
101,ORG-0008,Krishna Iyer,783554360074,LDWJO0926E,,5 years,pending,XXX-XX-5489
102,ORG-0002,Rohan Mishra,723913362671,AMDFQ6068N,,7 years,verified,XXX-XX-4751
103,ORG-0007,Aditya Reddy,313238866056,PEJFU7964G,2022-07-25 04:48:07,10 years,expired,XXX-XX-6759
104,ORG-0007,Ananya Desai,426267290888,FPELJ6772M,,7 years,verified,XXX-XX-9655
105,ORG-0001,Diya Kapoor,718536797006,GBBLQ2774M,2025-01-03 17:39:09,5 years,verified,XXX-XX-6077
106,ORG-0002,Neha Saxena,591357663494,GGYBO6066F,,3 years,verified,XXX-XX-3684
107,ORG-0008,Diya Kapoor,611728708205,SOCJQ3453I,,10 years,verified,XXX-XX-4742
108,ORG-0009,Aarav Sharma,280039190875,RFGHI8516B,,10 years,verified,XXX-XX-7568
109,ORG-0002,Radha Venkatesh,987304327725,JZZFX9720N,2025-01-14 11:40:53,1 year,failed,XXX-XX-1023
110,ORG-0007,Geetha Raghavan,615240970980,NSJBS0180S,2025-09-18 04:15:18,5 years,failed,XXX-XX-7438
111,ORG-0006,Ananya Desai,920275114459,ZFIGD0837T,2023-11-03 04:05:45,3 years,failed,XXX-XX-7492
112,ORG-0009,Vivaan Patel,629044724819,AVZCG8366S,,1 year,verified,XXX-XX-2056
113,ORG-0004,Radha Venkatesh,980881909475,MJLHG9241T,,3 years,failed,XXX-XX-9173
114,ORG-0007,Radha Venkatesh,902118568797,UJOJL9531K,,1 year,failed,XXX-XX-1959
115,ORG-0008,Neha Saxena,779916289098,FWUHF1586S,2025-12-05 11:36:36,3 years,pending,XXX-XX-9064
116,ORG-0009,Ishaan Mehta,440225092171,XVIAE5978L,,5 years,expired,XXX-XX-2655
117,ORG-0006,Ishaan Mehta,711979619696,UFPCM3617W,,7 years,verified,XXX-XX-3983
118,ORG-0010,Ananya Desai,561430336986,RSIAI2637X,2024-03-01 14:46:26,3 years,expired,XXX-XX-9078
119,ORG-0007,Diya Kapoor,814866108235,YBELF7580T,,7 years,verified,XXX-XX-8066
120,ORG-0003,Pooja Thakur,811216772223,BOVCB3426T,,1 year,verified,XXX-XX-4390
121,ORG-0003,Rohan Mishra,694174826338,JEBJO2851W,,1 year,failed,XXX-XX-9871
122,ORG-0007,Suresh Naidu,558845848405,XSNPZ5919O,,3 years,pending,XXX-XX-4157
123,ORG-0003,Vivaan Patel,806281537805,OOWPO9075Z,,7 years,pending,XXX-XX-3428
124,ORG-0010,Riya Malhotra,395125343466,AHDTV6083H,2024-08-31 08:57:23,1 year,failed,XXX-XX-5965
125,ORG-0005,Krishna Iyer,986923773769,CLXLX4530Z,,5 years,expired,XXX-XX-3222
126,ORG-0009,Radha Venkatesh,218200031343,KXRFL4494R,,3 years,failed,XXX-XX-2480
127,ORG-0005,Aarav Sharma,808722226581,ZRMCU1826J,,5 years,expired,XXX-XX-7168
128,ORG-0006,Aadhya Rao,623565099854,PHRJC3232U,,5 years,pending,XXX-XX-3456
129,ORG-0009,Suresh Naidu,588866676928,KKATG3766P,,5 years,failed,XXX-XX-3785
130,ORG-0009,Sai Nair,601287163037,THUHL2284U,,10 years,verified,XXX-XX-8736
131,ORG-0004,Neha Saxena,383208124595,LISBP3930O,,3 years,pending,XXX-XX-9021
132,ORG-0002,Arjun Kumar,864930130388,ERQFH6313S,,1 year,verified,XXX-XX-5885
133,ORG-0005,Aadhya Rao,746194719800,FZFAS5177M,,5 years,verified,XXX-XX-1785
134,ORG-0002,Rohan Mishra,201412726041,CNQCN8171D,,7 years,pending,XXX-XX-4272
135,ORG-0005,Lakshmi Sundaram,534159642003,COMBY5712H,,5 years,failed,XXX-XX-8606
136,ORG-0001,Vihaan Singh,488364188015,QIXTI8081M,,7 years,failed,XXX-XX-7319
137,ORG-0008,Meera Krishnamurthy,867160914585,REJHT0689E,,7 years,verified,XXX-XX-7738
138,ORG-0008,Vivaan Patel,323767559637,NSCFP3638R,,10 years,verified,XXX-XX-1190
139,ORG-0003,Neha Saxena,988042902643,GLUJC8414U,2024-04-06 13:02:35,10 years,verified,XXX-XX-2489
140,ORG-0010,Pooja Thakur,685643888370,PSJJD0603U,,5 years,failed,XXX-XX-2741
141,ORG-0001,Radha Venkatesh,448742118284,EITAU8574V,,10 years,pending,XXX-XX-9172
142,ORG-0001,Neha Saxena,254597961810,RPILN9972K,,7 years,pending,XXX-XX-3263
143,ORG-0007,Pooja Thakur,685375227698,DSZCQ5677R,,10 years,expired,XXX-XX-9747
144,ORG-0005,Radha Venkatesh,885016171225,VRHPB3466R,,10 years,expired,XXX-XX-4892
145,ORG-0009,Meera Krishnamurthy,660347690723,WWLFU7675T,,3 years,failed,XXX-XX-8353
146,ORG-0003,Karan Banerjee,311534515230,SEDHT0966P,,10 years,failed,XXX-XX-2194
147,ORG-0006,Neha Saxena,595715438635,HYQJR8906O,,10 years,pending,XXX-XX-1653
148,ORG-0006,Myra Chatterjee,335298384088,FNYCY5006Y,,7 years,verified,XXX-XX-4368
149,ORG-0009,Lakshmi Sundaram,869714300756,OFGLO6406R,2025-06-20 02:48:47,10 years,verified,XXX-XX-2189
150,ORG-0006,Sita Menon,326629380123,TUWGU1697X,,1 year,pending,XXX-XX-3019
151,ORG-0001,Aarav Sharma,859379346517,FVFCV7889R,,10 years,verified,XXX-XX-5762
152,ORG-0002,Krishna Iyer,315936220143,IRSCS5891K,,3 years,expired,XXX-XX-5533
153,ORG-0006,Arjun Kumar,784335168813,OGXBX0050S,,10 years,pending,XXX-XX-1600
154,ORG-0009,Krishna Iyer,961385815030,AGZTV1541S,,3 years,expired,XXX-XX-6878
155,ORG-0001,Ayaan Joshi,922265739800,QCZGX2516L,,1 year,failed,XXX-XX-7165
156,ORG-0004,Neha Saxena,838446511060,FEJBV2874P,,10 years,pending,XXX-XX-7732
157,ORG-0001,Ayaan Joshi,215158119541,ZQWGC2644H,,10 years,pending,XXX-XX-3979
158,ORG-0010,Karan Banerjee,616950310596,RVPCP9585Y,,7 years,pending,XXX-XX-9835
159,ORG-0001,Radha Venkatesh,853052873573,TSCCI4282R,,3 years,verified,XXX-XX-1116
160,ORG-0010,Neha Saxena,353284145252,OPZLY2551R,,5 years,failed,XXX-XX-6641
161,ORG-0007,Deepak Pandey,486746124359,SSEAZ0194C,,5 years,verified,XXX-XX-1618
162,ORG-0007,Sita Menon,865759864268,UHATQ5210H,,3 years,verified,XXX-XX-5520
163,ORG-0007,Diya Kapoor,842079575538,VFZJM5241C,,5 years,verified,XXX-XX-9409
164,ORG-0005,Radha Venkatesh,669577944509,DBQFV7843R,2023-06-24 07:18:05,7 years,failed,XXX-XX-2245
165,ORG-0009,Sita Menon,443829694178,WFFFT3710V,,1 year,verified,XXX-XX-8901
166,ORG-0006,Pooja Thakur,749884992254,BUMPB5361D,,7 years,failed,XXX-XX-1137
167,ORG-0001,Karan Banerjee,531381229315,LKTHM2115H,,5 years,pending,XXX-XX-8081
168,ORG-0007,Reyansh Gupta,487404186536,MGWAM0122U,2023-11-17 08:23:23,10 years,failed,XXX-XX-6638
169,ORG-0001,Sara Bose,336656592358,ULCTJ4986K,,10 years,expired,XXX-XX-2168
170,ORG-0002,Sai Nair,723226248358,ZKEAE7697C,,7 years,verified,XXX-XX-2565
171,ORG-0002,Sita Menon,950370216833,GHQCQ8068K,,7 years,failed,XXX-XX-9987
172,ORG-0008,Arjun Kumar,454784659428,CIKCJ0571J,,1 year,expired,XXX-XX-8816
173,ORG-0005,Aarav Sharma,875751842765,VFCFQ7986J,,10 years,failed,XXX-XX-7765
174,ORG-0004,Geetha Raghavan,312662610051,ECGJX0002N,,7 years,failed,XXX-XX-8597
175,ORG-0001,Ananya Desai,389070418887,DTGJH7047Q,,3 years,expired,XXX-XX-7375
176,ORG-0005,Sita Menon,717751423061,ZGLAF7532B,,7 years,pending,XXX-XX-7084
177,ORG-0002,Ayaan Joshi,446397031519,MIOHZ8703X,,1 year,expired,XXX-XX-8168
178,ORG-0009,Ishaan Mehta,911372895011,HGJAY6310L,,3 years,failed,XXX-XX-2037
179,ORG-0009,Lakshmi Sundaram,816712430604,YEABP1063P,,10 years,failed,XXX-XX-1804
180,ORG-0006,Ayaan Joshi,309698463781,VUBTI5780G,,1 year,verified,XXX-XX-4784
181,ORG-0009,Myra Chatterjee,516595577568,SLCCR4319O,,5 years,failed,XXX-XX-7090
182,ORG-0007,Suresh Naidu,883253573497,AAHAQ1809G,,1 year,failed,XXX-XX-9376
183,ORG-0009,Riya Malhotra,404128223550,FCIJF4878D,,5 years,verified,XXX-XX-7251
184,ORG-0002,Suresh Naidu,293849177892,QQBPB3536E,2024-03-15 14:48:38,10 years,verified,XXX-XX-4638
185,ORG-0007,Ishaan Mehta,813475234674,MFKTG5952I,,5 years,verified,XXX-XX-2843
186,ORG-0007,Sara Bose,733503969412,BVFHE7810T,,5 years,verified,XXX-XX-6624
187,ORG-0002,Ishaan Mehta,943725756969,RJXPB2026I,2025-09-02 00:04:24,5 years,failed,XXX-XX-2767
188,ORG-0001,Ishaan Mehta,823903851549,YAGPJ3313L,,5 years,pending,XXX-XX-9212
189,ORG-0005,Meera Krishnamurthy,268880521865,CJYTU6454J,,5 years,expired,XXX-XX-9883
190,ORG-0003,Reyansh Gupta,456216894971,ROEBR5718E,,5 years,expired,XXX-XX-7737
191,ORG-0005,Aadhya Rao,611109666525,ACUCQ8461M,,3 years,pending,XXX-XX-4166
192,ORG-0004,Vivaan Patel,870247970999,WMIJH4768X,,10 years,verified,XXX-XX-9530
193,ORG-0002,Aadhya Rao,980953755602,HKHGO1296E,,7 years,verified,XXX-XX-9202
194,ORG-0002,Sai Nair,433048880361,SETBD7607X,,10 years,pending,XXX-XX-7204
195,ORG-0009,Myra Chatterjee,279561817435,TLQBE9070P,,10 years,verified,XXX-XX-9084
196,ORG-0004,Reyansh Gupta,944608268216,BJDAV5630D,,3 years,pending,XXX-XX-5659
197,ORG-0010,Karan Banerjee,497307388781,BMDGK5566D,,10 years,verified,XXX-XX-8924
198,ORG-0010,Sita Menon,648256964740,VWGGG0061G,,7 years,expired,XXX-XX-1745
199,ORG-0006,Diya Kapoor,502273530634,SQACG3369Z,2022-10-06 15:09:40,7 years,failed,XXX-XX-8577
200,ORG-0007,Sita Menon,282735267836,ZHALU5161D,,5 years,failed,XXX-XX-1518
201,ORG-0005,Sara Bose,342492317796,LAMPE1975Y,,1 year,pending,XXX-XX-4361
202,ORG-0001,Aadhya Rao,875096504058,RIPGU8312K,,1 year,failed,XXX-XX-3446
203,ORG-0003,Krishna Iyer,306523317223,BPIJB1461B,2024-03-13 05:45:38,10 years,expired,XXX-XX-6826
204,ORG-0005,Ananya Desai,576597418945,LRSJP2286L,,5 years,failed,XXX-XX-8426
205,ORG-0008,Aarav Sharma,343417611872,IQUPO4465P,,5 years,pending,XXX-XX-8063
206,ORG-0007,Riya Malhotra,752609545457,VEYBT1873P,,1 year,verified,XXX-XX-4565
207,ORG-0003,Radha Venkatesh,276426428275,RXYHC5658J,2025-01-29 01:00:45,10 years,failed,XXX-XX-2797
208,ORG-0005,Geetha Raghavan,227333356411,JYVCJ9610A,,7 years,expired,XXX-XX-3224
209,ORG-0002,Arjun Kumar,888696448323,LAMFW5453B,,5 years,verified,XXX-XX-8889
210,ORG-0002,Arjun Kumar,640804790678,IBIAP4953L,,5 years,failed,XXX-XX-3744
211,ORG-0001,Amit Choudhury,675041098629,CNWGI1280D,,10 years,pending,XXX-XX-8317
212,ORG-0006,Meera Krishnamurthy,427478301911,MZUFV4627L,2023-06-26 03:03:10,7 years,expired,XXX-XX-8802
213,ORG-0005,Priya Verma,537418094699,RBXHN6622Z,2025-09-02 18:25:29,3 years,pending,XXX-XX-9518
214,ORG-0006,Karan Banerjee,430004563721,AQBTV8251D,2025-05-23 04:24:42,10 years,pending,XXX-XX-2816
215,ORG-0003,Krishna Iyer,649692497318,BUJHB2810G,,3 years,expired,XXX-XX-2776
216,ORG-0003,Kavya Pillai,826971052480,DQYLI1330W,,7 years,expired,XXX-XX-8144
217,ORG-0007,Geetha Raghavan,350984593644,QYCPK0476F,,7 years,pending,XXX-XX-5896
218,ORG-0007,Radha Venkatesh,363067117545,BOIPZ4900Z,,7 years,verified,XXX-XX-4468
219,ORG-0009,Aadhya Rao,472074096260,AQXBO6808D,,10 years,pending,XXX-XX-2033
220,ORG-0004,Sara Bose,789639518777,PIDCY4654S,2022-07-24 20:39:24,3 years,verified,XXX-XX-8978
221,ORG-0002,Aarav Sharma,210684876268,NKYTW0149U,,5 years,failed,XXX-XX-7861
222,ORG-0001,Kavya Pillai,519968954621,BCDJP1606J,,5 years,failed,XXX-XX-8424
223,ORG-0001,Vihaan Singh,291741875312,RIUHH0783H,2025-04-13 15:03:56,7 years,pending,XXX-XX-4541
224,ORG-0010,Aadhya Rao,431769216012,WLEHH8676T,,10 years,pending,XXX-XX-2416
225,ORG-0007,Geetha Raghavan,982440482429,YYXAN9047B,,7 years,expired,XXX-XX-2605
226,ORG-0008,Priya Verma,507642329060,ELOTA9417F,,5 years,expired,XXX-XX-1022
227,ORG-0002,Myra Chatterjee,752766526635,YNXHB1363F,,1 year,pending,XXX-XX-3267
228,ORG-0006,Ayaan Joshi,367787773851,KBJJP5845R,,7 years,failed,XXX-XX-2075
229,ORG-0004,Radha Venkatesh,903190111126,YAKPE4470G,2023-04-21 16:41:21,7 years,failed,XXX-XX-6346
230,ORG-0008,Riya Malhotra,945837232819,HYQCW5117V,,3 years,pending,XXX-XX-2915
231,ORG-0001,Ananya Desai,443276914952,DAYCO9195Q,,5 years,expired,XXX-XX-5748
232,ORG-0010,Karan Banerjee,477931406102,QFJHB6157Y,,1 year,verified,XXX-XX-9821
233,ORG-0008,Karan Banerjee,393465063743,KAIGO8074N,,5 years,pending,XXX-XX-7944
234,ORG-0007,Arjun Kumar,313953953061,HEMTY9182P,2023-09-11 18:19:31,10 years,expired,XXX-XX-4678
235,ORG-0001,Meera Krishnamurthy,213661621961,ATMBT7558U,,1 year,failed,XXX-XX-9397
236,ORG-0010,Aarav Sharma,610381124937,HNYPG7107R,,5 years,failed,XXX-XX-5447
237,ORG-0006,Vihaan Singh,780534391121,EXPPR7784C,,3 years,verified,XXX-XX-8856
238,ORG-0006,Ishaan Mehta,714959137117,SRHFE9471A,,7 years,verified,XXX-XX-4217
239,ORG-0002,Vivaan Patel,249030016523,RADGS3157H,,1 year,verified,XXX-XX-1229
240,ORG-0009,Reyansh Gupta,591707998461,ERCHM4547K,,1 year,pending,XXX-XX-9123
241,ORG-0006,Amit Choudhury,650312639458,HWEBZ4619P,,7 years,expired,XXX-XX-9563
242,ORG-0002,Vihaan Singh,436978131286,KGLJI7757Z,,7 years,failed,XXX-XX-8795
243,ORG-0010,Myra Chatterjee,951414290787,MAETV3367V,,7 years,expired,XXX-XX-4308
244,ORG-0005,Karan Banerjee,942385904934,IJLAF5837P,,5 years,expired,XXX-XX-8986
245,ORG-0002,Riya Malhotra,966548534968,JZIAS0837A,,5 years,expired,XXX-XX-2594
246,ORG-0007,Diya Kapoor,740223068119,NARLS5404A,,7 years,expired,XXX-XX-6282
247,ORG-0010,Vihaan Singh,916357363440,WUVPG2094H,,1 year,verified,XXX-XX-6518
248,ORG-0005,Aditya Reddy,943085263429,NROAU7852X,,5 years,expired,XXX-XX-1981
249,ORG-0009,Reyansh Gupta,742778489688,GHETH4112J,,10 years,expired,XXX-XX-7914
250,ORG-0001,Reyansh Gupta,420725607706,XIHBN8683X,,3 years,verified,XXX-XX-9196
251,ORG-0002,Neha Saxena,640573878795,FCFGO4805W,,5 years,expired,XXX-XX-8780
252,ORG-0004,Krishna Iyer,437809686961,UGOGU9381H,,7 years,verified,XXX-XX-7438
253,ORG-0005,Ishaan Mehta,397281438678,HCUJP7934D,,5 years,verified,XXX-XX-6764
254,ORG-0007,Pooja Thakur,740066714632,CENCT6734X,,3 years,failed,XXX-XX-5616
255,ORG-0004,Aditya Reddy,833385005629,CMGCB4420L,,10 years,verified,XXX-XX-1231
256,ORG-0009,Sara Bose,984229827344,FFVFN1709H,,3 years,failed,XXX-XX-8506
257,ORG-0002,Aarav Sharma,913667772008,IGXTV9570I,,7 years,failed,XXX-XX-7466
258,ORG-0006,Arjun Kumar,252598135111,BDWGX3492Y,,10 years,failed,XXX-XX-8139
259,ORG-0003,Ananya Desai,971867012029,SLZJB4954D,,3 years,verified,XXX-XX-6727
260,ORG-0002,Reyansh Gupta,611528559557,KBTBK0663S,,1 year,failed,XXX-XX-3519
261,ORG-0001,Aditya Reddy,986495096937,TTYTE2063B,,10 years,expired,XXX-XX-2516
262,ORG-0007,Krishna Iyer,427302346912,HUTGV6303G,,7 years,expired,XXX-XX-5398
263,ORG-0010,Pooja Thakur,804316059664,SYNPC2494E,,5 years,pending,XXX-XX-9570
264,ORG-0007,Ishaan Mehta,259554478354,TATJF7804W,,10 years,expired,XXX-XX-8371
265,ORG-0010,Meera Krishnamurthy,639820926405,KARJW4677J,,10 years,failed,XXX-XX-7471
266,ORG-0005,Aditya Reddy,411861041282,WOCJE4011W,,7 years,expired,XXX-XX-1321
267,ORG-0008,Riya Malhotra,525800679876,POHJM4566P,,1 year,verified,XXX-XX-7914
268,ORG-0010,Ananya Desai,326816644173,MLNTV3686E,,7 years,expired,XXX-XX-6902
